chr	start	end	strand	strand_source	motif	intron_length	gene_id	unique_reads	multi_reads
NC_000070.7	124636384	124636728	2	GTF	AT/CT	344	Gm12915	22	0
NC_000077.7	102288513	102288877	1	GTF	GT/TG	364	Rundc3a	5	0
NC_000070.7	34586524	34586948	2	GTF	GG/GT	424	Orc3	2	0
NC_000085.7	44930866	44931320	1	GTF	GT/TG	454	Slf2	3	0
NC_000086.8	20724164	20724632	1	GTF	GT/GG	468	Araf	19	0
NC_000086.8	99668994	99669475	2	GTF	AG/TT	481	Pdzd11	5	0
NC_000072.7	85935698	85936198	2	GTF	AG/AG	500	Dusp11	13	1
NC_000077.7	62556063	62556569	1	GTF	TT/AG	506	Mmgt2	9	0
NC_000082.7	97812730	97813236	1	GTF	CT/AA	506	B230307C23Rik	6	5
NC_000070.7	72117659	72118218	2	GTF	TG/GT	559	Tle1	2	1
NC_000067.7	155419796	155420362	0	Unknown	GC/TC	566	NA	5	1
NC_000072.7	91052958	91053539	2	GTF	AG/AT	581	Nup210	46	0
NC_000080.7	47052448	47053055	2	GTF	AA/AT	607	Gmfb	4	0
NC_000086.8	37640601	37641258	2	GTF	AT/AT	657	Cul4b	61	0
NC_000072.7	118660423	118661110	2	GTF	TG/GT	687	Cacna1c	6	0
NT_187055.1	751	1440	2	GTF	GA/GG	689	Cd99	4	0
NC_000070.7	155905572	155906265	1	GTF	GT/GG	693	Ccnl2	59	0
NC_000069.7	108544477	108545202	1	GTF	GT/TG	725	Wdr47	14	0
NC_000067.7	84738859	84739584	2	GTF	TG/GT	725	Trip12	4	0
NC_000076.7	55925114	55925857	2	GTF	AG/AT	743	Tbc1d32	7	0
NC_000084.7	36887685	36888477	1	GTF	AT/AA	792	Ik	288	0
NC_000081.7	79533033	79533837	2	GTF	TG/GT	804	Fam227a	2	0
NC_000081.7	82232243	82233053	1	GTF	TA/GA	810	Smdt1	470	32
NC_000070.7	140799029	140799839	2	GTF	TG/GT	810	Necap2	5	0
NC_000081.7	102391724	102392588	1	GTF	GT/TG	864	Pcbp2	452	0
NC_000074.7	85263088	85264064	1	GTF	GT/TG	976	Cacna1a	15	0
NC_000084.7	25636135	25637195	2	GTF	TG/GT	1060	Celf4	74	0
NC_000074.7	23734815	23735878	1	GTF	CA/AC	1063	Gm39141	20	0
NC_000076.7	29077869	29079019	1	GTF	TC/TT	1150	9330159F19Rik	11	6
NC_000081.7	76982285	76983439	2	GTF	GG/GT	1154	Rbfox2	388	0
NC_000086.8	60177110	60178318	1	GTF	GT/GG	1208	Cdr1os	9	0
NC_000081.7	39742299	39743515	2	GTF	TG/GT	1216	Lrp12	12	0
NC_000074.7	26056930	26058203	1	GTF	GA/AG	1273	Fgfr1	206	0
NC_000072.7	108369547	108370865	1	GTF	GA/AG	1318	Itpr1	29	0
NC_000079.7	67768433	67769776	2	GTF	AG/TT	1343	Zfp729a	22	9
NC_000074.7	122732422	122733829	1	GTF	GT/GG	1407	Banp	41	0
NC_000086.8	47020825	47022251	1	GTF	GT/GG	1426	Ocrl	3	0
NC_000081.7	54926531	54927971	2	GTF	AG/GA	1440	Taf2	3	0
NC_000077.7	60278190	60279638	1	GTF	AT/AG	1448	Drc3	4	0
NC_000084.7	7870028	7871530	1	GTF	GT/GG	1502	Wac	18	0
NC_000085.7	53622543	53624101	1	GTF	AT/AT	1558	Smc3	125	0
NC_000077.7	70810112	70811680	1	GTF	GT/TG	1568	Rabep1	4	5
NC_000068.8	69784706	69786308	1	GTF	AT/AT	1602	Ubr3	122	0
NC_000075.7	78007128	78008809	2	GTF	AG/TT	1681	Fbxo9	71	0
NC_000084.7	67573618	67575380	2	GTF	AC/GG	1762	Afg3l2	2	4
NC_000079.7	55821931	55823708	1	GTF	TT/AG	1777	Ddx46	54	0
NC_000075.7	72944104	72945904	2	GTF	AA/AT	1800	Pigb	12	0
NC_000070.7	124834339	124836145	1	GTF	AT/AG	1806	Airim	9	0
NC_000076.7	29077728	29079535	1	GTF	AA/GG	1807	9330159F19Rik	13	2
NC_000073.7	19316264	19318079	2	GTF	TG/GT	1815	Clasrp	25	0
NC_000077.7	98731165	98733020	1	GTF	AT/AG	1855	Rapgefl1	32	0
NC_000072.7	136803109	136805019	2	GTF	CA/GT	1910	Wbp11	39	6
NC_000074.7	69274903	69276819	1	GTF	GT/GG	1916	Ints10	3	0
NC_000073.7	143116781	143118721	2	GTF	AC/GG	1940	Cars1	3	24
NC_000068.8	167299386	167301568	1	GTF	AT/AT	2182	Slc9a8	33	0
NC_000073.7	6383347	6385642	2	GTF	AG/GA	2295	Gm53349	2	0
NC_000071.7	108052761	108055057	1	GTF	GT/TG	2296	Rpl5	226	0
NC_000069.7	40871392	40873812	1	GTF	AT/AA	2420	Abhd18	5	3
NC_000079.7	78343806	78346238	2	GTF	GG/GT	2432	Nr2f1	26	0
NC_000082.7	76866016	76868533	1	GTF	TA/GA	2517	Usp25	2	0
NC_000081.7	80888072	80890604	1	GTF	GT/GG	2532	Sgsm3	7	0
NC_000076.7	115134795	115137424	2	GTF	GT/CC	2629	Rab21	4	8
NC_000079.7	95133696	95136373	1	GTF	AT/AA	2677	Wdr41	57	0
NC_000074.7	11662948	11665749	2	GTF	AG/GA	2801	Ankrd10	3	3
NC_000074.7	11662948	11665811	2	GTF	AG/GG	2863	Ankrd10	13	0
NC_000070.7	136056813	136059699	1	GTF	GT/TG	2886	Hnrnpr	42	0
NC_000070.7	76162024	76164986	2	GTF	AG/TT	2962	Ptprd	4	0
NC_000074.7	26424546	26427523	1	GTF	GG/AG	2977	Kcnu1	17	0
NC_000074.7	124207884	124211339	1	GTF	GG/GT	3455	Afg3l1	7	1
NC_000081.7	82163790	82167289	1	GTF	TC/GG	3499	Septin3	14	0
NC_000083.7	27185951	27189472	1	GTF	GA/AG	3521	Syngap1	12	0
NC_000083.7	27185948	27189473	1	GTF	GT/GG	3525	Syngap1	11	0
NC_000068.8	128848745	128852335	1	GTF	AT/AT	3590	Zc3h6	22	0
NC_000080.7	101696333	101700310	2	GTF	TC/GT	3977	Tbc1d4	2	0
NC_000071.7	117823621	117827618	1	GTF	GT/GG	3997	Ksr2	4	0
NC_000075.7	102758954	102763192	1	GTF	GT/TG	4238	Ryk	77	0
NC_000071.7	121282760	121287165	2	GTF	TG/GT	4405	Ptpn11	61	0
NC_000072.7	119029668	119034154	2	GTF	AG/AT	4486	Cacna1c	20	0
NC_000068.8	164628776	164633461	1	GTF	GT/GG	4685	Snx21	2	0
NC_000068.8	174178585	174183442	1	GTF	GT/TG	4857	Gnas	122	0
NC_000078.7	112946679	112951538	2	GTF	AG/AT	4859	Brf1	103	0
NC_000077.7	118068125	118073044	2	GTF	TC/TA	4919	Cyth1	4	0
NC_000074.7	71710072	71715696	2	GTF	AC/GG	5624	Haus8	4	1
NC_000077.7	102762009	102768435	2	GTF	TG/GT	6426	Eftud2	152	0
NC_000075.7	21590444	21597308	1	GTF	GT/TG	6864	Smarca4	366	0
NC_000086.8	142646604	142653602	2	GTF	AG/TT	6998	Dcx	694	0
NC_000083.7	32588396	32595496	2	GTF	CA/GT	7100	Wiz	48	0
NC_000075.7	72569896	72577233	1	GTF	GT/GG	7337	Nedd4	436	0
NC_000068.8	174176078	174183442	1	GTF	GT/TG	7364	Gnas	9	0
NC_000068.8	29794120	29802577	1	GTF	GT/TG	8457	Odf2	23	0
NC_000070.7	102930041	102939409	2	GTF	AG/GA	9368	Dnai4	3	0
NC_000073.7	129787111	129797901	2	GTF	AG/GA	10790	Fgfr2	15	0
NC_000078.7	19338926	19350882	1	GTF	TG/TT	11956	Gm5953	6	19
NC_000084.7	36121294	36135975	1	GTF	GA/CA	14681	Psd2	72	0
NC_000081.7	98829507	98847849	0	Unknown	CC/GA	18342	NA	16	0
NC_000068.8	62569743	62594913	2	GTF	TC/TA	25170	Kcnh7	10	1
NC_000067.7	182686176	182714898	1	GTF	GT/TG	28722	Susd4	17	0
NC_000078.7	73235040	73265794	1	GTF	GG/AG	30754	Mnat1	8	0
NC_000083.7	25616820	25651843	2	GTF	AG/AT	35023	Cacna1h	88	0
NC_000078.7	18660512	18713129	1	GTF	GT/GG	52617	Zfp996	2	48
NC_000078.7	23183700	23239273	2	GTF	GG/GT	55573	Gm9292	8	71
NC_000067.7	135244078	135368873	0	Unknown	GT/TC	124795	NA	33	31
NC_000085.7	45288290	45520244	0	Unknown	GA/GG	231954	NA	4	0
